n = 1500000 ,dist = 9.094947e-13 ,duration = 6.159799e+00 ,selected_d = 6.981954e-08
n = 1500000 ,dist = 9.094947e-13 ,duration = 4.460525e+00 ,selected_d = 1.576028e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 5.224774e+00 ,selected_d = 1.985239e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 4.451962e+00 ,selected_d = 1.567081e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 5.546195e+00 ,selected_d = 6.984803e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 4.445509e+00 ,selected_d = 1.250061e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 4.042547e+00 ,selected_d = 4.450414e-08
n = 1500000 ,dist = 9.094947e-13 ,duration = 4.174674e+00 ,selected_d = 9.821920e-08
n = 1500000 ,dist = 9.094947e-13 ,duration = 4.328544e+00 ,selected_d = 4.196050e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 4.558294e+00 ,selected_d = 5.766663e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 4.556849e+00 ,selected_d = 4.253393e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 4.825380e+00 ,selected_d = 3.069965e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 4.068547e+00 ,selected_d = 8.381080e-08
n = 1500000 ,dist = 9.094947e-13 ,duration = 4.520373e+00 ,selected_d = 2.106578e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 4.161870e+00 ,selected_d = 6.890711e-08
n = 1500000 ,dist = 9.094947e-13 ,duration = 4.210903e+00 ,selected_d = 1.510138e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 4.269730e+00 ,selected_d = 1.447018e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 3.921093e+00 ,selected_d = 2.252536e-08
n = 1500000 ,dist = 9.094947e-13 ,duration = 4.422986e+00 ,selected_d = 3.355283e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 4.776435e+00 ,selected_d = 3.595586e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 1.065847e+01 ,selected_d = 4.763198e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 3.814105e+00 ,selected_d = 2.112616e-08
n = 1500000 ,dist = 9.094947e-13 ,duration = 3.973256e+00 ,selected_d = 8.140684e-08
n = 1500000 ,dist = 9.094947e-13 ,duration = 3.821907e+00 ,selected_d = 4.459740e-08
n = 1500000 ,dist = 9.094947e-13 ,duration = 4.857581e+00 ,selected_d = 4.865552e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 4.072239e+00 ,selected_d = 2.032563e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 3.890652e+00 ,selected_d = 9.616447e-08
n = 1500000 ,dist = 9.094947e-13 ,duration = 3.903497e+00 ,selected_d = 8.489440e-08
n = 1500000 ,dist = 9.094947e-13 ,duration = 4.294750e+00 ,selected_d = 3.256802e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 4.214442e+00 ,selected_d = 2.668021e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 4.310571e+00 ,selected_d = 1.644741e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 6.134939e+00 ,selected_d = 1.564066e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 4.505277e+00 ,selected_d = 2.966482e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 5.277550e+00 ,selected_d = 2.280048e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 1.154805e+01 ,selected_d = 2.423251e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 4.510231e+00 ,selected_d = 1.974515e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 4.831069e+00 ,selected_d = 2.445106e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 4.003688e+00 ,selected_d = 8.379999e-09
n = 1500000 ,dist = 9.094947e-13 ,duration = 4.186844e+00 ,selected_d = 1.559205e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 4.897507e+00 ,selected_d = 1.946673e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 4.617605e+00 ,selected_d = 1.395424e-08
n = 1500000 ,dist = 9.094947e-13 ,duration = 4.481210e+00 ,selected_d = 6.675672e-08
n = 1500000 ,dist = 9.094947e-13 ,duration = 4.134903e+00 ,selected_d = 1.201497e-08
n = 1500000 ,dist = 9.094947e-13 ,duration = 4.318581e+00 ,selected_d = 4.984225e-08
n = 1500000 ,dist = 9.094947e-13 ,duration = 4.874681e+00 ,selected_d = 4.550515e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 5.245043e+00 ,selected_d = 5.096732e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 4.096476e+00 ,selected_d = 1.422526e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 3.954684e+00 ,selected_d = 8.717066e-08
n = 1500000 ,dist = 9.094947e-13 ,duration = 4.024725e+00 ,selected_d = 5.657780e-08
n = 1500000 ,dist = 9.094947e-13 ,duration = 3.864301e+00 ,selected_d = 1.364650e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 5.027321e+00 ,selected_d = 1.288724e-06
n = 1500000 ,dist = 9.094947e-13 ,duration = 3.946095e+00 ,selected_d = 3.915972e-08
n = 1500000 ,dist = 9.094947e-13 ,duration = 3.809911e+00 ,selected_d = 4.226817e-08
n = 1500000 ,dist = 9.094947e-13 ,duration = 3.802299e+00 ,selected_d = 1.918713e-08
n = 1500000 ,dist = 9.094947e-13 ,duration = 4.976548e+00 ,selected_d = 2.492130e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 4.875563e+00 ,selected_d = 2.305569e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 4.208040e+00 ,selected_d = 1.033345e-07
n = 1500000 ,dist = 9.094947e-13 ,duration = 4.540686e+00 ,selected_d = 2.376290e-07
